,City,Country,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
431,Oudtshoorn,ZA,-33.59,22.2,64.4,88,2.24,0
432,Evensk,RU,61.92,159.24,4.89,100,19.6,88
433,Cairns,AU,-16.92,145.77,84.2,62,9.17,20
434,Mwingi,KE,-0.93,38.07,63.03,97,3.38,44
435,Matagami,CA,49.76,-77.63,19.4,92,4.7,90
436,Linjiang,CN,41.81,126.91,-19.68,26,2.48,0
437,Anadyr,RU,64.73,177.51,3.2,77,13.42,0
438,Porto Torres,IT,40.84,8.4,50.0,76,5.82,0
439,Solnechnyy,RU,50.72,136.64,-22.65,33,3.15,0
440,Belene,BG,43.65,25.12,19.4,85,9.17,40
441,Dreux,FR,48.74,1.37,39.2,71,6.93,90
442,Ucluelet,CA,48.94,-125.55,44.6,93,9.17,90
443,Jinxi,CN,27.92,116.75,34.59,87,1.92,8
444,Poole,GB,50.72,-1.98,39.2,93,3.36,0
445,Hobyo,SO,5.35,48.53,77.25,78,20.04,76
446,Zhanakorgan,KZ,43.91,67.25,17.22,79,2.93,48
447,Belyy Yar,RU,53.6,91.39,-7.61,76,5.17,40
448,Dombarovskiy,RU,50.76,59.54,5.39,83,12.1,80
449,Novoagansk,RU,61.94,76.66,-5.91,72,4.72,20
450,Oktyabrskoye,RU,56.73,85.44,5.0,84,11.18,75
451,Caibarien,CU,22.52,-79.47,77.0,69,2.24,75
452,Banes,CU,20.96,-75.72,78.8,61,6.93,20
453,Lucea,JM,18.44,-78.17,80.6,74,10.29,20
454,Cam Ranh,VN,11.92,109.15,80.6,78,9.17,75
455,Kyabe,TD,9.45,18.94,75.77,31,10.42,36
456,Inyonga,TZ,-6.72,32.06,64.74,97,0.69,68
457,Ilulissat,GL,69.22,-51.1,8.6,65,16.11,40
458,Aqtobe,KZ,50.28,57.21,14.0,72,15.66,75
459,Bologoye,RU,57.88,34.11,19.11,90,6.85,88
460,Alta Floresta,BR,-9.87,-56.08,75.81,95,2.15,32
461,Kamina,CD,-8.74,25.0,68.84,97,3.49,92
462,Flin Flon,CA,54.77,-101.88,-4.01,76,2.48,5
463,Okuchi,JP,32.07,130.62,41.0,56,9.17,0
464,Swan River,CA,52.11,-101.27,12.59,81,3.15,44
465,Petrovac,RS,43.03,21.82,23.0,92,2.82,90
466,Usinsk,RU,66.0,57.56,-8.43,65,4.27,24
467,Ourem,PT,39.64,-8.59,39.2,100,2.24,0
468,Santa catarina de Tepehuanes,MX,25.34,-105.72,63.57,26,3.6,36
469,Gorontalo,ID,0.54,123.06,76.53,88,2.59,12
470,Gazojak,TM,41.19,61.4,30.36,92,10.76,32
471,Suntar,RU,62.16,117.65,-0.56,66,6.17,68
472,Ulladulla,AU,-35.36,150.48,64.4,77,10.29,90
473,Marsh Harbour,BS,26.54,-77.06,74.28,100,11.77,92
474,Kurchum,KZ,48.57,83.65,0.35,73,1.7,64
475,Dong Hoi,VN,17.48,106.6,68.61,100,11.1,68
476,Senahu,GT,15.42,-89.82,72.84,59,1.81,0
477,Peniche,PT,39.36,-9.38,48.2,100,2.24,0
478,Noyabrsk,RU,63.2,75.45,-6.27,73,9.19,44
479,Los Llanos de Aridane,ES,28.66,-17.92,62.6,29,6.93,24
480,Svetlaya,RU,46.54,138.33,12.54,100,18.03,0
481,Dire,ML,12.28,-10.97,62.22,50,3.94,32
482,Gizo,SB,-8.1,156.84,82.07,100,19.15,88
483,Puyang,CN,35.76,115.02,11.91,58,2.93,0
484,Moshenskoye,RU,58.52,34.59,18.03,85,4.16,68
485,Punta Alta,AR,-27.46,-55.82,80.6,78,2.24,75
486,Vostok,RU,46.45,135.83,-3.26,72,4.72,36
487,Puerto Leguizamo,CO,-0.19,-74.78,82.52,68,3.15,0
488,Mitu,CO,1.2,-70.17,77.43,84,2.15,88
489,Yuzhno-Kurilsk,RU,44.03,145.86,27.75,100,15.46,32
490,Gumdag,TM,39.2,54.59,31.17,94,7.18,12
491,Trelew,AR,-43.25,-65.31,79.5,25,10.76,0
492,Bulungu,CD,-4.54,18.6,73.02,94,3.27,88
493,Teruel,ES,40.34,-1.11,46.4,58,3.36,0
494,Beloha,MG,-25.17,45.06,73.83,88,4.83,0
495,Savannah Bight,HN,16.45,-85.85,80.6,78,3.36,20
496,Hooksett,US,43.1,-71.47,39.02,85,5.82,90
497,Vagur,FO,61.47,-6.81,46.7,98,23.17,0
498,Poykovskiy,RU,61.23,73.33,-0.41,91,6.71,90
499,Olavarria,AR,-36.89,-60.32,76.71,53,10.09,12
500,Grenfell,CA,50.41,-102.93,20.91,91,6.73,68
501,Sabang,ID,1.17,120.82,81.35,100,11.43,0
502,Zahnitkiv,UA,48.04,28.9,19.92,86,5.39,92
503,Ruwi,OM,23.6,58.55,69.8,77,2.24,0
504,Taksimo,RU,56.36,114.84,-32.64,51,1.36,12
505,Russell,NZ,-35.26,174.12,82.97,41,4.38,0
506,Ialibu,PG,-6.28,143.99,63.21,81,0.92,32
507,Imbituba,BR,-28.24,-48.67,75.2,73,3.36,75
508,Fort-Shevchenko,KZ,44.51,50.26,34.41,100,7.29,48
509,Dafeng,CN,33.2,120.46,40.35,96,4.61,92
510,Sarkand,KZ,45.41,79.91,0.3,70,2.37,8
511,Konevo,RU,56.45,43.2,17.6,92,6.71,90
512,Souillac,MU,-20.52,57.52,80.6,83,11.41,40
513,Husavik,IS,66.04,-17.34,33.42,92,12.21,20
514,Linares,CL,-35.85,-71.6,68.12,65,2.26,0
515,Karlstad,SE,59.38,13.5,28.4,100,2.24,36
516,Creel,MX,27.75,-107.63,53.58,36,4.61,80
517,Shu,KZ,43.6,73.76,10.07,65,6.4,24
518,Copala,MX,16.61,-98.97,80.27,69,4.94,0
519,Vershino-Shakhtaminskiy,RU,51.3,117.89,-29.58,44,2.59,8
520,Moerai,PF,-22.43,-151.33,77.84,100,4.83,32
521,Hualmay,PE,-11.1,-77.61,71.94,82,4.72,20
522,Marfino,RU,56.07,37.56,19.4,92,6.71,90
523,Verkhnyaya Inta,RU,65.99,60.32,-6.81,59,3.15,0
524,Manaus,BR,-3.13,-59.98,82.4,78,5.82,75
525,Mala,PE,-12.66,-76.63,71.09,85,5.73,12
526,Praia da Vitoria,PT,38.73,-27.07,62.6,93,29.89,75
527,Omaruru,NA,-21.42,15.95,67.98,68,4.94,44
528,Khasan,RU,42.43,130.64,13.85,100,9.64,0
529,Gull Lake,CA,50.1,-108.48,23.0,92,19.46,90
530,Waitati,NZ,-45.75,170.57,54.8,100,3.15,92
531,Arifwala,PK,30.29,73.06,47.87,98,6.96,56
532,Yelovo,RU,57.05,54.92,15.42,84,6.85,88
533,Najran,SA,17.54,44.22,57.2,58,2.59,0
534,Mao,TD,14.12,15.31,61.59,31,10.87,56
535,Polevskoy,RU,56.44,60.17,15.8,61,15.66,0
536,Oriximina,BR,-1.77,-55.87,76.4,96,3.71,80
537,Saint-Augustin,CA,45.63,-73.98,33.8,82,3.36,90
538,Minolos,PH,10.1,123.47,78.8,83,10.29,75
539,Cockburn Town,TC,21.46,-71.14,79.14,99,17.02,48
540,Wajima,JP,37.4,136.9,30.2,86,2.24,75
541,Gilgit,PK,35.92,74.31,11.87,83,0.58,56
542,Fort Portal,UG,0.66,30.28,60.96,86,1.7,68
